model-gt,Model,Gt,MeasuresArray,WeightsArray,ScoresArray,FinalScore,FinalPosition,MaximumRelativeNormalizedScore,MaximumAbsoluteNormalizedScore,CutFactorFlag
gt2-gt4,gt2,gt4,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.00033, 0.00726, 0.00429]",0.012,1,0.776,0.988,Sotto
gt1-gt4,gt1,gt4,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.0016500000000000002, 0.015510000000000001, 0.01122]",0.028,2,0.476,0.972,Sotto
gt1-gt2,gt1,gt2,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.0016500000000000002, 0.01584, 0.01122]",0.029,3,0.458,0.971,Sotto
gt3-gt4,gt3,gt4,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.00495, 0.028050000000000002, 0.0099]",0.043,4,0.196,0.957,Sopra
gt2-gt3,gt2,gt3,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.00462, 0.026400000000000003, 0.0165]",0.048,5,0.102,0.952,Sopra
gt1-gt3,gt1,gt3,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.00528, 0.02838, 0.0198]",0.053,6,0.009,0.946,Sopra
