model-gt,Model,Gt,MeasuresArray,WeightsArray,ScoresArray,FinalScore,FinalPosition,MaximumRelativeNormalizedScore,MaximumAbsoluteNormalizedScore,CutFactorFlag
gt2-gt4,gt2,gt4,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.00033, 0.00759, 0.00627]",0.014,1,0.741,0.986,Sotto
gt1-gt4,gt1,gt4,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.00231, 0.01452, 0.00858]",0.025,2,0.538,0.975,Sotto
gt1-gt2,gt1,gt2,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.00231, 0.0165, 0.00858]",0.027,3,0.501,0.973,Sotto
gt1-gt3,gt1,gt3,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.00264, 0.01881, 0.01386]",0.035,4,0.353,0.965,Sopra
gt3-gt4,gt3,gt4,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.00495, 0.026730000000000004, 0.0099]",0.042,5,0.224,0.958,Sopra
gt2-gt3,gt2,gt3,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.00561, 0.02937, 0.01914]",0.054,6,0.002,0.945,Sopra
