model-gt,Model,Gt,MeasuresArray,WeightsArray,ScoresArray,FinalScore,FinalPosition,MaximumRelativeNormalizedScore,MaximumAbsoluteNormalizedScore,CutFactorFlag
gt2-gt4,gt2,gt4,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.00033, 0.00528, 0.0033000000000000004]",0.009,1,0.719,0.991,Sotto
gt1-gt4,gt1,gt4,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.00066, 0.00957, 0.00594]",0.016,2,0.5,0.984,Sotto
gt1-gt2,gt1,gt2,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.00066, 0.0099, 0.00627]",0.017,3,0.469,0.983,Sotto
gt2-gt3,gt2,gt3,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.0016500000000000002, 0.01584, 0.010230000000000001]",0.028,4,0.125,0.972,Sopra
gt3-gt4,gt3,gt4,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.00231, 0.01914, 0.00726]",0.029,5,0.094,0.971,Sopra
gt1-gt3,gt1,gt3,"['Model', 'Model', 'Model']","[0.33, 0.33, 0.33]","[0.00231, 0.01749, 0.01221]",0.032,6,0.0,0.968,Sopra
